Date,Open,High,Low,Close,Volume,Market Cap,Average (High + Low / 2)
Jun 14 2018,1.00,1.01,0.993035,1.00,3104210000,2512020000,1.00
Jun 13 2018,1.00,1.03,0.994316,1.00,3056750000,2519060000,1.01
Jun 12 2018,1.00,1.02,0.998669,1.00,2702340000,2517270000,1.01
Jun 11 2018,1.01,1.01,0.991656,1.00,2913220000,2520420000,1.00
Jun 10 2018,1.01,1.02,0.989031,0.998215,3845030000,2530640000,1.00
Jun 09 2018,1.00,1.01,0.999194,1.01,2006880000,2512300000,1.00
Jun 08 2018,0.999940,1.01,0.994330,1.00,2219580000,2506990000,1.00
Jun 07 2018,0.999463,1.01,0.996242,0.998750,2554540000,2505800000,1.00
Jun 06 2018,0.997917,1.01,0.990877,1.00,2508360000,2501920000,1.00
Jun 05 2018,0.999263,1.01,0.990879,1.00,2796070000,2505290000,1.00
Jun 04 2018,0.997714,1.01,0.995257,1.00,2798280000,2501410000,1.00
Jun 03 2018,0.992030,1.00,0.986847,1.00,2796300000,2487160000,0.99
Jun 02 2018,1.00,1.01,0.986231,0.993530,3187570000,2507600000,1.00
Jun 01 2018,0.999088,1.01,0.994694,1.00,2486080000,2504850000,1.00
May 31 2018,1.00,1.01,0.994691,0.998003,2613340000,2512160000,1.00
May 30 2018,0.999487,1.01,0.995158,0.999727,2429060000,2505850000,1.00
May 29 2018,0.999270,1.01,0.985790,1.00,3003920000,2505310000,1.00
May 28 2018,1.00,1.01,0.987478,1.00,2582710000,2508580000,1.00
May 27 2018,1.00,1.01,0.991551,0.999182,1885900000,2511550000,1.00
May 26 2018,1.00,1.01,0.982905,0.999890,1872140000,2514590000,1.00
May 25 2018,0.999292,1.01,0.990553,1.00,2375610000,2505370000,1.00
May 24 2018,1.00,1.01,0.993728,0.998818,3122710000,2510530000,1.00
May 23 2018,1.00,1.01,0.996053,1.00,3360600000,2509060000,1.00
May 22 2018,1.00,1.01,0.996062,1.00,2417590000,2514990000,1.00
May 21 2018,0.999592,1.01,0.996845,1.00,2406450000,2506120000,1.00
May 20 2018,1.00,1.00,0.990756,0.999117,2610940000,2510830000,1.00
May 19 2018,1.00,1.01,0.994250,1.00,2569300000,2507660000,1.00
May 18 2018,1.00,1.00,0.993732,1.00,3051710000,2312890000,1.00
May 17 2018,1.00,1.01,0.996747,1.00,3026750000,2308560000,1.00
May 16 2018,1.00,1.01,0.990384,0.999950,3238190000,2211880000,1.00
May 15 2018,1.00,1.01,0.993853,1.00,3315440000,2208330000,1.00
May 14 2018,1.00,1.01,0.989507,1.00,3820280000,2211480000,1.00
May 13 2018,1.00,1.01,0.993248,1.00,3179100000,2208210000,1.00
May 12 2018,0.999750,1.02,0.984735,1.00,4539990000,2106610000,1.00
May 11 2018,1.00,1.01,0.982996,1.00,4733060000,2115720000,1.00
May 10 2018,0.999422,1.01,0.995984,1.00,3430200000,2105920000,1.00
May 09 2018,1.00,1.01,0.993117,1.00,3236690000,2111400000,1.00
May 08 2018,0.998745,1.01,0.994675,1.00,3317770000,2154430000,1.00
May 07 2018,0.995351,1.01,0.990850,0.997237,4137240000,2186930000,1.00
May 06 2018,0.995906,1.01,0.992321,0.997202,3948860000,2257860000,1.00
May 05 2018,0.999448,1.00,0.992373,0.996284,3848780000,2265890000,1.00
May 04 2018,1.01,1.01,0.992204,0.998561,3844980000,2330610000,1.00
May 03 2018,0.996267,1.01,0.993920,0.997973,4307830000,2308490000,1.00
May 02 2018,1.00,1.00,0.992736,0.997464,3711890000,2418640000,1.00
May 01 2018,1.00,1.01,0.993633,1.00,3901110000,2417740000,1.00
Apr 30 2018,0.997553,1.01,0.992921,0.998919,4498440000,2411230000,1.00
Apr 29 2018,0.998866,1.01,0.992304,0.998016,5167800000,2414400000,1.00
Apr 28 2018,1.00,1.01,0.991015,0.999335,4066050000,2419020000,1.00
Apr 27 2018,1.00,1.01,0.995122,1.00,4060180000,2422090000,1.00
Apr 26 2018,1.00,1.01,0.992381,0.999614,4206320000,2422600000,1.00
Apr 25 2018,1.01,1.02,0.986074,0.991809,6126580000,2298790000,1.00
Apr 24 2018,0.998974,1.01,0.990297,1.00,5033250000,2284790000,1.00
Apr 23 2018,0.995130,1.00,0.988780,0.997847,3075480000,2276000000,0.99
Apr 22 2018,1.00,1.01,0.989191,0.996196,3176020000,2297000000,1.00
Apr 21 2018,0.997071,1.01,0.993816,0.999014,3570040000,2280440000,1.00
Apr 20 2018,0.997550,1.00,0.988285,0.998338,3458870000,2281540000,0.99
Apr 19 2018,0.997907,1.00,0.992889,0.997185,2217800000,2282350000,1.00
Apr 18 2018,1.00,1.01,0.983284,0.997609,2112090000,2288650000,1.00
Apr 17 2018,0.997217,1.01,0.991320,0.998556,2075650000,2280780000,1.00
Apr 16 2018,0.998884,1.01,0.995754,0.997592,2125180000,2284590000,1.00
Apr 15 2018,0.996308,1.01,0.986564,0.998602,2057860000,2278700000,1.00
Apr 14 2018,1.00,1.01,0.993994,0.999766,2060220000,2291310000,1.00
Apr 13 2018,0.995839,1.01,0.989434,0.998895,3218920000,2277620000,1.00
Apr 12 2018,0.996408,1.02,0.986025,0.996831,3636590000,2278930000,1.00
Apr 11 2018,0.997593,1.00,0.992521,1.00,1741700000,2281640000,1.00
Apr 10 2018,0.996953,1.00,0.991744,0.997356,1253950000,2280170000,1.00
Apr 09 2018,0.997541,1.01,0.993393,0.997555,1678770000,2281520000,1.00
Apr 08 2018,1.00,1.01,0.995091,0.996809,1090880000,2290640000,1.00
Apr 07 2018,1.00,1.01,0.986520,0.999644,1332260000,2291130000,1.00
Apr 06 2018,1.00,1.01,0.991376,1.00,1257110000,2287850000,1.00
Apr 05 2018,1.00,1.01,0.987434,1.00,1609470000,2291820000,1.00
Apr 04 2018,1.00,1.01,0.994270,1.00,1772330000,2296240000,1.00
Apr 03 2018,0.997587,1.01,0.995073,1.00,1753520000,2281620000,1.00
Apr 02 2018,1.00,1.01,0.988060,1.00,1550880000,2294760000,1.00
Apr 01 2018,0.995702,1.01,0.980778,0.999810,1832530000,2277310000,1.00
Mar 31 2018,0.997014,1.01,0.993569,1.00,1763720000,2280310000,1.00
Mar 30 2018,0.995897,1.01,0.979633,0.998943,2596850000,2277760000,0.99
Mar 29 2018,1.00,1.01,0.982472,0.998623,2486610000,2293080000,1.00
Mar 28 2018,1.00,1.01,0.993721,0.999204,1857050000,2292350000,1.00
Mar 27 2018,1.00,1.01,0.989473,1.00,2051080000,2292670000,1.00
Mar 26 2018,0.996600,1.01,0.983682,1.00,2183960000,2279360000,1.00
Mar 25 2018,1.00,1.01,0.994482,0.999686,1511320000,2287420000,1.00
Mar 24 2018,1.00,1.01,0.994299,1.01,1785500000,2290890000,1.00
Mar 23 2018,0.999221,1.01,0.990235,0.990235,1995700000,2285360000,1.00
Mar 22 2018,0.999460,1.01,0.993468,0.998982,2171850000,2215940000,1.00
Mar 21 2018,0.996938,1.01,0.992647,0.999244,2353890000,2210350000,1.00
Mar 20 2018,1.01,1.01,0.989570,0.996832,2506320000,2230490000,1.00
Mar 19 2018,0.982194,1.02,0.982194,0.989867,2638090000,2177660000,1.00
Mar 18 2018,1.01,1.01,0.979781,1.00,2639470000,2228610000,0.99
Mar 17 2018,1.00,1.01,0.990731,1.00,1687920000,2220590000,1.00
Mar 16 2018,0.997509,1.01,0.989567,0.998551,1872050000,2211620000,1.00
Mar 15 2018,1.00,1.01,0.984939,1.00,2259870000,2218620000,1.00
Mar 14 2018,0.996581,1.02,0.991337,1.00,2151670000,2209560000,1.01
Mar 13 2018,1.00,1.01,0.987195,0.999843,1890040000,2221210000,1.00
Mar 12 2018,1.00,1.01,0.988530,1.00,2155560000,2217540000,1.00
Mar 11 2018,1.00,1.01,0.994709,1.00,2394810000,2224830000,1.00
Mar 10 2018,0.997607,1.01,0.994936,1.01,2218810000,2211840000,1.00
Mar 09 2018,0.999723,1.01,0.988564,1.00,3131620000,2216530000,1.00
Mar 08 2018,1.00,1.01,0.985734,1.01,2636690000,2220540000,1.00
Mar 07 2018,0.998354,1.02,0.981378,1.00,3037380000,2213490000,1.00
Mar 06 2018,1.01,1.01,0.996260,1.00,2491850000,2228310000,1.00
Mar 05 2018,0.997521,1.00,0.995019,0.998864,2227680000,2211640000,1.00
Mar 04 2018,1.00,1.00,0.995287,0.997612,2133910000,2217570000,1.00
Mar 03 2018,0.995248,1.01,0.993477,1.00,2181490000,2206600000,1.00
Mar 02 2018,0.998189,1.01,0.994439,0.999730,2172250000,2213130000,1.00
Mar 01 2018,0.999847,1.01,0.995679,1.00,2285570000,2216800000,1.00
Feb 28 2018,1.00,1.01,0.992791,0.998903,2414230000,2224430000,1.00
Feb 27 2018,0.998677,1.01,0.991642,1.00,2473020000,2214210000,1.00
Feb 26 2018,0.997664,1.01,0.989677,0.999561,2362210000,2211960000,1.00
Feb 25 2018,1.00,1.01,0.996229,1.00,1968850000,2227760000,1.00
Feb 24 2018,1.00,1.01,0.993887,1.00,2417710000,2219660000,1.00
Feb 23 2018,1.01,1.01,0.993702,1.00,2815280000,2235880000,1.00
Feb 22 2018,1.00,1.01,0.993998,1.00,2904620000,2220530000,1.00
Feb 21 2018,1.01,1.01,0.988699,1.00,3459830000,2229030000,1.00
Feb 20 2018,1.00,1.01,0.994081,1.00,3126220000,2218570000,1.00
Feb 19 2018,1.00,1.01,0.994041,1.00,2546440000,2220090000,1.00
Feb 18 2018,1.00,1.02,0.998832,1.01,3124180000,2227520000,1.01
Feb 17 2018,1.00,1.01,0.996919,1.00,2797600000,2227640000,1.00
Feb 16 2018,1.01,1.01,0.996746,1.00,2605820000,2228310000,1.00
Feb 15 2018,1.01,1.02,0.997203,1.01,3286910000,2228320000,1.01
Feb 14 2018,0.997715,1.01,0.993292,1.00,3066190000,2212080000,1.00
Feb 13 2018,1.00,1.01,0.995931,1.00,2226760000,2218900000,1.00
Feb 12 2018,1.00,1.01,0.990812,1.00,2457490000,2217610000,1.00
Feb 11 2018,1.00,1.01,0.992728,0.999251,2431740000,2228050000,1.00
Feb 10 2018,1.00,1.01,0.993346,1.00,2628380000,2224850000,1.00
Feb 09 2018,1.02,1.05,0.995049,1.00,1631140000,2263900000,1.02
Feb 08 2018,0.994970,1.03,0.987534,1.02,2466620000,2205990000,1.01
Feb 07 2018,1.00,1.02,0.984647,1.00,3307540000,2221910000,1.00
Feb 06 2018,0.978500,1.02,0.958318,1.01,6247250000,2169470000,0.99
Feb 05 2018,0.995794,1.02,0.944777,0.996308,4078980000,2207820000,0.98
Feb 04 2018,1.00,1.01,0.975209,1.01,2504640000,2226850000,0.99
Feb 03 2018,0.994071,1.02,0.982879,1.00,2488530000,2204000000,1.00
Feb 02 2018,0.986294,1.02,0.925144,0.990747,4785870000,2186750000,0.97
